City_ID,City Name,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temp,Wind Speed
86,Springbok,ZA,1587347163,-29.66,17.89,3,37,51.4,1.05
87,Kochki,RU,1587347163,54.34,80.48,24,48,55.11,3.22
88,The Valley,AI,1587346901,18.22,-63.06,40,74,80.6,8.05
89,Mitsamiouli,KM,1587347051,-11.38,43.28,50,72,82.76,15.19
90,Uvira,CD,1587347164,-3.41,29.15,94,50,72.21,0.36
91,Ushuaia,AR,1587346742,-54.8,-68.3,40,80,41,27.51
92,Yar-Sale,RU,1587347039,66.83,70.83,100,98,34.11,7.43
93,Seoul,KR,1587346868,37.57,126.98,90,66,55.4,4.7
94,Kahului,US,1587347164,20.89,-156.47,40,51,82.4,12.75
95,Clyde River,CA,1587347165,70.47,-68.59,1,76,-4,4.7
96,East London,ZA,1587347124,-33.02,27.91,0,54,76.21,10.85
97,Port Elizabeth,ZA,1587347165,-33.92,25.57,0,38,75.2,16.11
98,Mahajanga,MG,1587347166,-15.72,46.32,60,76,75.79,10.65
99,Portland,US,1587346775,45.52,-122.68,20,45,63,8.05
100,Hasaki,JP,1587347166,35.73,140.83,75,93,51.01,9.17
101,Amahai,ID,1587347166,-3.33,128.92,87,72,85.3,1.81
102,Salalah,OM,1587347166,17.02,54.09,20,74,80.6,4.7
103,Nishihara,JP,1587347011,26.18,127.76,90,93,66.2,6.93
104,Aswan,EG,1587347074,24.09,32.91,0,40,67.55,6.98
105,Taoudenni,ML,1587347167,22.68,-3.98,0,24,75.31,5.03
106,Karratha,AU,1587346907,-20.74,116.85,95,51,87.69,9.84
107,Tiksi,RU,1587347167,71.69,128.87,100,92,18.86,6.04
108,Qaanaaq,GL,1587346936,77.48,-69.36,39,82,9.43,11.48
109,Maragogi,BR,1587346584,-9.01,-35.22,25,83,78.94,7.29
110,Magadan,RU,1587347168,59.57,150.8,0,83,14,4.09
111,Puerto Ayora,EC,1587347168,-0.74,-90.35,50,85,80.01,7
112,Dikson,RU,1587347168,73.51,80.55,86,94,33.6,17.05
113,Torbay,CA,1587346896,47.67,-52.73,90,100,36,26.4
114,Tual,ID,1587346971,-5.67,132.75,23,72,84.9,4.81
115,Iskateley,RU,1587346983,67.68,53.15,95,98,30.67,6.85
116,Chimore,BO,1587347169,-16.98,-65.13,0,62,70.03,3.02
117,Apricena,IT,1587347169,41.78,15.44,75,93,59,3.36
