City_ID,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temp,Wind Speed
245,KZ,1584253661,43.2,51.65,100,76,51.51,15.75
246,ID,1584253661,-9.66,120.26,64,68,84.45,3.76
247,MR,1584253661,18.09,-15.98,75,63,66.2,11.41
248,BR,1584253661,-9.01,-35.22,100,77,81.43,8.32
249,ZA,1584253449,-33.93,18.42,20,72,66.99,18.34
250,RU,1584253662,68.05,166.44,74,91,0.14,3.4
251,GT,1584253662,14.3,-91.92,16,79,76.44,3.38
252,AU,1584253662,-38.27,141.97,33,69,59.16,14.9
253,ID,1584253662,-7.33,108.35,79,76,84.96,4.92
254,NP,1584253377,27.72,85.32,20,49,69.8,4.7
255,MX,1584253662,21.28,-89.67,5,73,77.0,13.87
256,RU,1584253511,65.98,60.31,100,80,5.25,7.9
257,JP,1584253663,35.13,140.3,20,77,51.8,10.29
258,RU,1584253436,62.14,117.63,94,94,32.5,5.93
259,AU,1584253430,-25.3,152.85,40,51,82.4,18.34
260,PT,1584253663,33.07,-16.34,75,72,60.8,14.99
261,UZ,1584253664,40.43,71.72,0,29,64.4,2.24
262,AU,1584253664,-29.47,149.85,40,37,82.4,9.17
263,UZ,1584253664,40.13,63.45,100,23,68.72,21.9
264,RU,1584253664,51.64,35.58,20,58,28.99,11.18
265,US,1584253619,47.5,-111.3,20,83,-2.0,5.82
266,CV,1584253665,14.9,-24.5,9,60,72.55,15.08
267,US,1584253484,42.33,-83.33,90,77,33.01,9.17
268,GL,1584253665,69.22,-51.1,85,63,-5.8,10.29
269,DK,1584253665,57.08,9.27,100,82,43.0,15.01
270,US,1584253665,41.44,-72.01,90,55,42.8,8.05
271,ID,1584253665,-0.87,134.08,100,87,76.84,9.19
272,TH,1584253666,14.59,101.0,100,52,91.0,7.94
273,PH,1584253666,8.0,124.29,93,79,82.0,8.01
274,GH,1584253666,7.06,-1.4,97,93,71.78,2.93
275,GL,1584253666,60.14,-45.24,100,93,22.73,7.27
276,CF,1584253666,4.32,17.47,50,20,76.32,1.72
277,RU,1584253666,55.97,37.92,40,85,23.0,8.95
278,MX,1584253666,25.34,-108.26,100,66,63.0,1.99
279,BR,1584253667,1.0,-52.0,100,91,72.91,2.86
280,AR,1584253667,-34.62,-68.33,0,29,56.89,4.12
281,PH,1584253667,14.31,121.11,75,49,91.4,8.05
282,RU,1584253493,67.67,53.09,74,89,9.01,6.53
283,TM,1584253667,39.51,54.37,66,39,62.42,3.09
